intern_id,task_completion_time_hrs,feedback_rating,attendance_percent,performance_score,performance_category
INT_01287,4.5,9.1,97.5,87.0,Excel
INT_01288,11.5,9.1,90.1,,Average
INT_01289,6.7,8.8,82.7,77.3,Excel
INT_01290,3.5,,91.2,78.1,Excel
INT_01291,11.2,3.1,100.0,19.1,Struggle
INT_01292,,6.5,95.3,42.2,Struggle
INT_01293,10.0,6.6,92.4,55.1,Average
INT_01294,12.5,6.0,93.8,48.4,Average
INT_01295,10.2,7.7,99.5,62.7,Average
INT_01296,9.7,6.9,96.6,53.4,Average
INT_01297,12.8,6.3,92.5,50.5,
INT_01298,9.1,5.9,96.5,53.3,Average
INT_01299,10.8,,79.3,49.0,Average
INT_01300,11.0,9.2,76.0,59.0,Average
INT_01301,8.0,6.5,89.3,65.6,Average
INT_01302,13.0,6.7,88.5,54.0,Average
INT_01303,9.5,6.8,83.6,55.3,Average
INT_01304,7.7,8.0,94.6,70.5,Average
INT_01305,11.6,8.2,73.1,57.6,Average
INT_01306,7.3,2.9,83.7,33.4,Struggle
INT_01307,10.1,9.0,84.1,69.4,Average
INT_01308,10.0,9.7,74.9,73.3,Average
INT_01309,13.3,5.9,100.0,56.6,Average
INT_01310,11.4,6.0,77.1,33.6,Struggle
INT_01311,9.9,6.8,83.3,46.7,Average
INT_01312,12.5,6.4,95.3,46.4,Average
INT_01313,14.2,7.8,93.2,47.9,Average
INT_01314,11.7,4.6,79.1,30.6,Struggle
INT_01315,10.0,5.8,93.5,54.4,Average
INT_01316,6.1,9.8,90.3,85.2,Excel
INT_01317,6.8,6.1,100.0,60.4,Average
INT_01318,9.1,9.4,91.2,82.7,Excel
INT_01319,8.2,8.0,86.9,67.4,Average
INT_01320,9.4,4.8,81.1,40.1,Struggle
INT_01321,10.2,8.5,82.0,69.1,Average
INT_01322,11.6,7.3,81.4,50.8,Average
INT_01323,9.8,6.8,99.0,73.0,Average
INT_01324,11.5,7.9,88.1,56.8,Average
INT_01325,10.2,8.2,92.5,77.9,Excel
INT_01326,4.1,8.6,100.0,80.8,Excel
INT_01327,7.2,9.3,69.1,70.3,Average
INT_01328,9.6,8.1,98.2,67.0,
INT_01329,6.4,5.4,88.4,59.4,Average
INT_01330,11.8,6.8,91.5,50.3,Average
INT_01331,14.6,10.0,81.4,65.5,Average
INT_01332,13.7,8.6,82.0,,Average
INT_01333,9.4,10.0,91.9,85.9,Excel
INT_01334,14.5,9.6,,68.0,Average
INT_01335,10.4,7.9,96.0,75.2,Excel
INT_01336,9.0,8.0,98.1,65.1,Average
INT_01337,8.2,7.4,86.5,54.9,Average
INT_01338,9.1,4.9,83.2,46.1,Average
INT_01339,8.8,7.5,81.8,55.6,Average
INT_01340,10.5,9.3,84.1,69.1,Average
INT_01341,,6.6,71.6,,Struggle
INT_01342,10.0,,,53.5,Average
INT_01343,11.3,8.8,83.5,63.0,Average
INT_01344,13.6,6.1,86.6,49.1,Average
INT_01345,12.8,,89.1,55.3,Average
INT_01346,5.5,6.0,90.9,61.3,Average
INT_01347,2.3,6.3,87.9,73.3,Average
INT_01348,12.8,5.6,83.3,32.0,Struggle
INT_01349,5.9,6.1,72.3,48.3,Average
INT_01350,9.3,9.6,83.4,75.6,Excel
INT_01351,6.5,6.1,80.2,52.5,Average
INT_01352,4.6,7.7,91.7,73.1,Average
INT_01353,11.6,6.7,,48.5,Average
INT_01354,12.3,9.3,95.5,59.9,Average
INT_01355,8.3,9.5,94.1,85.0,Excel
INT_01356,2.2,8.8,,85.8,Excel
INT_01357,8.4,8.0,83.8,69.1,
INT_01358,11.2,,82.0,49.1,Average
INT_01359,,5.7,75.9,45.9,Average
INT_01360,10.6,10.0,,80.4,Excel
INT_01361,10.0,6.4,86.6,55.9,Average
INT_01362,11.7,8.5,78.0,56.2,Average
INT_01363,10.4,9.1,81.4,70.8,Average
INT_01364,7.1,6.7,81.1,50.6,Average
INT_01365,13.6,9.1,88.3,62.4,Average
INT_01366,,8.6,96.5,73.1,Average
INT_01367,9.9,10.0,85.2,82.6,Excel
INT_01368,7.2,6.8,70.0,51.8,Average
INT_01369,8.7,5.6,86.5,58.0,Average
INT_01370,7.3,6.7,86.8,51.8,Average
INT_01371,9.5,7.8,86.2,62.7,
INT_01372,15.1,7.6,83.0,47.8,Average
INT_01373,5.9,6.9,89.7,68.7,Average
INT_01374,5.2,4.6,88.5,45.7,Average
INT_01375,14.4,8.2,87.8,64.7,Average
INT_01376,9.4,10.0,91.3,80.4,Excel
INT_01377,8.0,8.2,84.6,60.8,Average
INT_01378,13.1,8.4,84.1,57.3,Average
INT_01379,8.2,8.4,99.0,73.9,Average
INT_01380,15.5,8.1,92.5,70.4,Average
INT_01381,,,94.6,74.8,Average
INT_01382,8.5,8.1,97.8,72.7,Average
INT_01383,16.5,7.0,92.2,44.7,Struggle
INT_01384,8.2,6.3,,64.7,Average
INT_01385,12.2,7.1,75.4,51.0,Average
INT_01386,10.9,8.0,89.6,45.8,Average
INT_01387,13.9,7.0,86.5,51.1,Average
INT_01388,14.7,8.0,100.0,60.1,Average
INT_01389,10.1,8.2,95.4,61.0,Average
INT_01390,7.7,8.7,83.0,75.3,Excel
INT_01391,11.4,9.4,91.0,84.4,Excel
INT_01392,8.0,,89.3,68.7,Average
INT_01393,,5.5,91.6,41.6,Struggle
INT_01394,10.4,7.0,79.8,60.8,Average
INT_01395,8.9,7.6,90.9,59.5,Average
INT_01396,10.6,4.7,86.2,28.1,
INT_01397,6.0,9.6,90.3,87.6,Excel
INT_01398,7.1,7.7,82.2,62.7,Average
INT_01399,13.6,8.1,,45.9,Average
INT_01400,8.0,9.5,97.4,82.9,Excel
INT_01401,6.9,6.6,79.6,,Average
INT_01402,11.6,8.4,80.2,57.2,Average
INT_01403,13.6,7.3,87.6,46.6,Average
INT_01404,12.2,7.2,81.8,48.6,Average
INT_01405,,6.3,80.9,41.4,Struggle
INT_01406,7.7,10.0,,71.6,Average
INT_01407,5.7,6.9,76.0,57.2,
INT_01408,14.5,8.5,79.9,45.7,Average
INT_01409,9.0,4.7,100.0,52.5,Average
INT_01410,9.2,9.3,91.7,67.0,Average
INT_01411,14.0,9.1,,64.7,Average
INT_01412,11.7,7.6,91.3,,Average
INT_01413,11.4,7.2,92.5,54.0,Average
INT_01414,16.5,8.1,96.0,56.4,Average
INT_01415,8.1,10.0,87.0,75.8,Excel
INT_01416,12.8,4.9,95.8,41.4,Struggle
INT_01417,10.2,8.7,,54.4,Average
INT_01418,10.8,6.1,79.5,40.7,Struggle
INT_01419,14.6,7.5,89.3,52.9,Average
INT_01420,11.5,7.1,,49.1,Average
INT_01421,11.6,6.9,80.7,40.8,Struggle
INT_01422,13.2,7.5,90.1,55.5,Average
INT_01423,8.9,5.8,83.0,47.3,Average
INT_01424,7.5,9.0,85.8,75.5,Excel
INT_01425,,4.8,96.2,53.9,Average
INT_01426,4.1,8.3,95.3,82.1,Excel
INT_01427,16.2,7.0,80.0,42.4,Struggle
INT_01428,6.7,5.7,79.5,50.3,Average
INT_01429,,7.8,84.7,50.2,Average
INT_01430,9.2,5.2,87.8,,Struggle
INT_01431,10.9,7.6,82.7,66.0,Average
INT_01432,12.4,5.4,96.3,44.4,Struggle
INT_01433,12.6,8.2,90.8,66.0,Average
INT_01434,8.3,6.1,91.2,53.6,Average
INT_01435,9.5,6.8,77.9,50.1,Average
INT_01436,10.8,7.9,97.3,63.7,Average
INT_01437,9.3,6.3,65.4,54.4,Average
INT_01438,14.8,7.4,94.7,54.2,Average
INT_01439,11.5,5.2,95.5,42.0,Struggle
INT_01440,12.2,8.4,84.5,50.6,Average
INT_01441,12.0,10.0,98.2,89.7,Excel
INT_01442,13.5,,87.5,68.6,Average
INT_01443,10.5,7.6,88.5,64.0,Average
INT_01444,6.1,8.7,90.7,82.4,Excel
INT_01445,11.2,4.8,100.0,42.8,Struggle
INT_01446,8.0,9.8,98.8,,Excel
INT_01447,8.4,8.7,,70.9,Average
INT_01448,11.8,6.8,80.7,41.4,Struggle
INT_01449,13.7,9.4,89.1,72.0,Average
INT_01450,10.1,7.1,81.5,52.5,Average
INT_01451,10.9,6.8,94.6,59.6,Average
INT_01452,15.1,8.2,89.1,57.0,Average
INT_01453,10.7,5.9,79.0,45.7,Average
INT_01454,17.8,9.0,88.6,45.8,Average
INT_01455,11.7,5.9,81.2,38.1,Struggle
INT_01456,4.7,5.9,89.2,58.7,Average
INT_01457,12.3,6.1,81.1,37.1,Struggle
INT_01458,11.1,8.6,88.2,67.8,Average
INT_01459,13.9,6.6,94.0,55.2,Average
INT_01460,12.0,5.5,87.6,48.7,Average
INT_01461,9.6,6.6,84.9,50.7,Average
INT_01462,6.3,7.5,89.6,69.6,Average
INT_01463,9.4,5.7,93.6,54.3,Average
INT_01464,7.4,5.8,79.1,51.6,
INT_01465,8.3,10.0,90.1,77.1,Excel
INT_01466,11.8,6.2,98.5,,Average
INT_01467,,7.0,92.6,53.6,Average
INT_01468,11.2,,88.5,59.0,Average
INT_01469,6.4,6.9,93.1,72.4,Average
INT_01470,11.3,8.4,91.6,68.4,Average
INT_01471,13.6,8.9,,59.8,Average
INT_01472,8.2,7.0,71.8,50.6,Average
INT_01473,9.6,5.6,75.6,31.6,Struggle
INT_01474,10.0,9.4,96.0,79.7,Excel
INT_01475,7.6,7.4,76.0,56.0,Average
INT_01476,11.9,10.0,91.2,74.6,Average
INT_01477,9.6,4.1,85.2,42.2,Struggle
INT_01478,11.3,7.8,80.0,52.2,Average
INT_01479,7.3,10.0,90.8,82.9,Excel
INT_01480,8.7,7.0,89.6,59.8,Average
INT_01481,12.2,7.2,100.0,49.3,Average
INT_01482,8.9,7.9,83.0,60.9,Average
INT_01483,15.2,6.7,99.5,35.7,Struggle
INT_01484,8.8,7.0,90.8,57.3,Average
INT_01485,10.7,7.0,82.7,56.6,Average
INT_01486,12.8,6.6,94.4,,Average
INT_01487,5.7,9.3,92.5,80.7,Excel
INT_01488,4.7,8.2,88.3,76.0,Excel
INT_01489,,7.9,90.1,67.1,Average
INT_01490,13.8,8.7,83.2,57.6,Average
INT_01491,8.3,7.1,81.4,73.1,Average
INT_01492,17.7,6.3,94.1,49.3,Average
INT_01493,8.3,6.6,86.2,56.3,Average
INT_01494,10.6,7.5,87.4,59.1,Average
INT_01495,14.6,5.9,90.2,34.8,Struggle
INT_01496,16.0,,90.1,,Struggle
INT_01497,16.2,,76.6,37.1,Struggle
INT_01498,13.6,10.0,98.3,72.4,Average
INT_01499,13.1,3.3,89.0,29.9,Struggle
INT_01500,11.8,7.2,86.4,62.0,Average
INT_01501,12.3,10.0,91.4,76.0,
INT_01502,8.3,7.7,89.9,66.1,Average
INT_01503,7.5,8.6,94.1,66.8,Average
INT_01504,10.0,7.6,92.3,67.4,Average
INT_01505,9.5,6.5,93.7,50.7,Average
INT_01506,8.6,4.1,98.8,42.9,Struggle
INT_01507,12.1,7.8,95.1,66.8,Average
INT_01508,12.9,6.3,86.7,50.7,Average
INT_01509,10.3,6.3,79.0,43.2,Struggle
INT_01510,14.4,6.8,100.0,49.7,Average
INT_01511,6.6,10.0,86.1,79.3,Excel
INT_01512,9.4,10.0,84.2,69.6,Average
INT_01513,7.8,7.8,74.1,55.2,Average
INT_01514,4.4,6.8,90.7,59.1,Average
INT_01515,9.8,,89.2,52.4,
INT_01516,9.6,8.2,75.9,,Average
INT_01517,14.5,10.0,91.6,72.8,Average
INT_01518,11.9,7.1,84.0,45.7,Average
INT_01519,6.9,3.9,100.0,41.4,
INT_01520,15.6,8.5,83.4,52.9,Average
INT_01521,13.7,,84.5,60.8,Average
INT_01522,11.7,5.1,81.0,34.8,Struggle
INT_01523,9.3,7.8,98.2,67.1,
INT_01524,7.1,8.2,85.0,78.3,Excel
INT_01525,8.9,7.4,82.2,60.5,Average
INT_01526,13.3,6.3,93.7,58.8,Average
INT_01527,15.7,9.0,77.0,59.5,Average
INT_01528,14.6,6.9,93.0,58.1,Average
INT_01529,8.5,5.3,100.0,48.0,Average
INT_01530,6.6,4.4,92.5,51.2,Average
INT_01531,10.4,9.4,93.1,,Average
INT_01532,4.7,8.4,95.0,71.9,Average
INT_01533,11.0,7.6,,73.6,Average
INT_01534,9.6,6.8,97.7,59.8,Average
INT_01535,8.6,6.7,,53.2,Average
INT_01536,5.2,5.9,95.2,60.2,Average
INT_01537,11.5,6.9,80.9,,Struggle
INT_01538,8.4,4.3,94.2,40.5,Struggle
INT_01539,6.5,6.4,80.0,53.7,Average
INT_01540,2.0,7.0,85.1,81.2,Excel
INT_01541,9.9,8.4,63.3,48.8,Average
INT_01542,15.3,7.4,91.2,59.3,Average
INT_01543,15.0,8.7,82.8,59.5,Average
INT_01544,8.6,9.5,96.9,83.8,Excel
INT_01545,,9.1,91.1,80.5,Excel
INT_01546,11.4,,97.0,66.8,Average
INT_01547,7.0,7.5,,68.5,Average
INT_01548,10.9,6.0,96.3,55.4,Average
INT_01549,12.3,8.6,100.0,60.1,Average
INT_01550,13.7,10.0,94.1,74.5,Average
INT_01551,9.7,8.0,94.3,71.8,Average
INT_01552,9.4,10.0,89.4,77.6,Excel
INT_01553,7.4,5.2,83.8,47.7,Average
INT_01554,7.5,5.8,94.1,52.9,Average
INT_01555,9.3,8.8,76.0,55.7,Average
INT_01556,11.1,7.9,84.7,49.7,Average
INT_01557,12.7,9.5,73.8,51.3,Average
INT_01558,7.6,7.5,82.4,65.2,Average
INT_01559,14.5,6.2,93.1,30.3,Struggle
INT_01560,9.2,7.2,92.0,57.8,Average
INT_01561,9.9,5.2,88.4,39.8,Struggle
INT_01562,7.8,5.8,89.4,51.8,Average
INT_01563,2.7,9.0,72.9,66.3,Average
INT_01564,12.7,8.8,85.0,63.9,Average
INT_01565,12.2,8.0,82.5,48.8,Average
INT_01566,9.2,4.9,82.7,46.9,Average
INT_01567,10.2,7.0,92.8,54.8,Average
INT_01568,11.5,,81.1,39.4,Struggle
INT_01569,5.3,9.3,83.2,79.1,Excel
INT_01570,8.4,6.6,71.3,49.0,Average
INT_01571,12.4,5.9,85.6,42.3,Struggle
INT_01572,6.2,7.5,79.3,60.7,Average
INT_01573,10.9,6.5,88.6,53.5,Average
INT_01574,5.9,9.7,80.4,82.1,Excel
INT_01575,11.4,6.4,88.8,45.4,Average
INT_01576,9.9,5.4,86.8,47.1,Average
INT_01577,5.2,4.3,100.0,60.7,Average
INT_01578,13.5,7.5,92.0,58.3,Average
INT_01579,7.8,6.7,73.3,55.5,Average
INT_01580,7.6,5.4,77.9,45.2,Average
INT_01581,10.6,9.3,88.4,65.9,Average
INT_01582,13.4,8.5,80.6,50.9,Average
INT_01583,7.0,7.5,,54.4,Average
INT_01584,10.2,,98.8,84.9,Excel
INT_01585,11.3,8.5,93.8,82.7,Excel
INT_01586,12.1,6.3,92.2,54.6,Average
INT_01587,10.5,5.9,83.1,38.6,Struggle
INT_01588,8.9,,91.4,68.2,Average
INT_01589,7.5,8.1,82.4,78.6,Excel
INT_01590,10.3,7.8,89.6,60.7,
INT_01591,6.8,,80.6,53.8,Average
INT_01592,2.0,8.4,100.0,84.1,Excel
INT_01593,11.3,6.4,75.4,50.8,Average
INT_01594,12.7,7.3,97.9,61.3,Average
INT_01595,2.9,9.7,88.3,85.5,Excel
INT_01596,7.0,6.5,84.1,51.5,Average
INT_01597,11.9,5.1,89.3,41.9,Struggle
INT_01598,16.2,5.9,93.9,39.4,Struggle
INT_01599,10.1,9.0,98.9,80.7,Excel
INT_01600,7.8,7.9,90.5,71.4,Average
INT_01601,9.5,7.3,80.9,54.1,Average
INT_01602,14.1,6.7,88.4,43.0,Struggle
INT_01603,8.1,,100.0,74.6,Average
INT_01604,7.6,6.2,98.8,58.8,Average
INT_01605,,8.0,,69.3,Average
INT_01606,7.1,6.4,94.4,61.7,Average
INT_01607,10.4,6.2,93.6,47.7,Average
INT_01608,14.9,,97.3,51.6,Average
INT_01609,11.0,6.9,84.3,49.7,Average
INT_01610,9.2,7.4,77.2,50.1,Average
INT_01611,9.1,7.9,88.6,62.4,Average
INT_01612,5.3,2.0,81.5,28.7,Struggle
INT_01613,12.6,6.3,79.6,41.5,Struggle
INT_01614,9.8,,82.2,55.3,Average
INT_01615,9.5,9.8,100.0,88.3,Excel
INT_01616,19.6,5.9,89.1,36.3,Struggle
INT_01617,10.9,7.7,90.9,62.8,Average
INT_01618,7.7,9.7,78.2,68.7,Average
INT_01619,8.7,,73.2,39.0,Struggle
INT_01620,13.4,8.1,81.4,47.4,Average
INT_01621,10.3,6.3,99.5,66.5,Average
INT_01622,5.7,6.7,90.7,76.0,Excel
INT_01623,12.8,6.3,92.8,,Average
INT_01624,8.0,6.4,93.9,,Average
INT_01625,15.6,10.0,83.3,64.2,Average
INT_01626,13.2,8.8,99.1,70.0,Average
INT_01627,,9.2,82.9,62.3,Average
INT_01628,13.8,8.2,99.2,62.7,Average
INT_01629,10.2,5.1,91.5,39.6,Struggle
INT_01630,12.6,8.1,73.7,52.1,Average
INT_01631,11.5,9.1,82.0,64.2,Average
INT_01632,7.5,6.2,73.7,59.0,Average
INT_01633,8.1,8.9,97.3,84.1,Excel
INT_01634,13.1,8.6,87.8,62.1,Average
INT_01635,9.0,10.0,70.2,67.8,Average
INT_01636,8.8,6.9,91.0,68.9,Average
INT_01637,7.1,5.9,83.7,51.7,Average
INT_01638,11.3,7.0,76.1,48.6,Average
INT_01639,16.2,9.7,100.0,68.7,Average
INT_01640,6.8,4.8,88.9,45.6,Average
INT_01641,10.1,4.4,85.7,36.9,Struggle
INT_01642,14.2,7.6,84.8,39.1,Struggle
INT_01643,9.8,,,,Struggle
INT_01644,11.4,7.5,77.6,53.1,Average
INT_01645,6.8,8.9,98.3,90.7,Excel
INT_01646,11.3,6.7,,51.1,Average
INT_01647,9.4,4.7,88.2,37.5,Struggle
INT_01648,13.0,10.0,71.6,53.8,Average
INT_01649,13.6,6.0,77.5,40.4,Struggle
INT_01650,17.8,5.9,92.9,,Struggle
INT_01651,11.7,9.2,91.0,72.9,Average
INT_01652,11.0,6.9,100.0,62.5,Average
INT_01653,,7.4,98.7,66.5,Average
INT_01654,8.9,8.2,86.2,66.2,Average
INT_01655,11.0,9.1,91.8,73.2,Average
INT_01656,9.1,7.0,85.5,56.0,Average
INT_01657,10.5,9.8,100.0,77.7,Excel
INT_01658,14.0,,97.2,28.9,Struggle
INT_01659,7.0,8.6,89.4,61.5,Average
INT_01660,13.4,6.2,89.6,43.7,Struggle
INT_01661,14.0,9.6,99.6,80.7,Excel
INT_01662,9.6,7.7,92.6,68.6,Average
INT_01663,3.6,6.5,100.0,74.0,Average
INT_01664,8.2,8.5,70.5,56.6,Average
INT_01665,13.9,8.8,91.7,68.6,Average
INT_01666,9.9,8.5,83.9,63.6,Average
INT_01667,7.0,6.0,,70.7,Average
INT_01668,8.5,,100.0,59.1,Average
INT_01669,12.5,7.5,88.3,,Average
INT_01670,11.6,7.4,100.0,57.9,Average
INT_01671,9.3,8.6,100.0,67.5,Average
INT_01672,8.9,4.5,88.6,36.1,Struggle
INT_01673,8.8,8.0,100.0,72.9,Average
INT_01674,7.2,7.1,87.7,58.4,Average
INT_01675,14.8,6.2,86.3,18.4,Struggle
INT_01676,,6.4,94.9,63.9,Average
INT_01677,13.7,7.2,85.2,38.9,Struggle
INT_01678,14.6,2.1,88.7,16.3,Struggle
INT_01679,13.0,6.4,99.3,,Average
INT_01680,8.7,6.2,88.2,65.2,Average
INT_01681,11.2,8.3,74.4,60.8,Average
INT_01682,9.9,6.3,90.9,50.3,Average
INT_01683,7.3,7.2,82.4,56.1,Average
INT_01684,11.0,9.8,94.9,86.0,Excel
INT_01685,,9.0,93.6,72.4,Average
INT_01686,13.6,8.9,99.8,69.3,Average
INT_01687,8.6,6.8,95.3,60.7,Average
INT_01688,10.6,8.3,96.7,67.1,Average
INT_01689,10.8,7.1,82.6,54.5,Average
INT_01690,9.2,7.2,94.4,64.0,Average
INT_01691,11.8,8.1,100.0,69.6,Average
INT_01692,8.6,6.6,,54.2,Average
INT_01693,12.6,9.7,,78.9,Excel
INT_01694,6.0,7.3,83.6,64.6,Average
INT_01695,10.4,8.4,81.2,57.9,Average
INT_01696,15.8,9.7,90.4,64.1,Average
INT_01697,7.0,9.0,93.7,76.0,Excel
INT_01698,8.0,5.4,95.3,49.0,Average
INT_01699,11.5,8.2,80.3,55.0,Average
INT_01700,10.5,8.8,91.5,68.8,Average
INT_01701,,8.8,82.5,64.0,Average
INT_01702,11.5,5.8,76.1,43.5,Struggle
INT_01703,11.9,6.5,80.6,42.0,Struggle
INT_01704,13.3,9.0,82.0,60.9,Average
INT_01705,11.2,6.4,92.2,52.2,Average
INT_01706,9.3,7.1,97.2,59.9,Average
INT_01707,12.0,,76.2,65.8,Average
INT_01708,15.7,7.4,90.8,54.5,Average
INT_01709,9.6,6.4,,48.8,Average
INT_01710,7.1,6.2,93.0,60.8,Average
INT_01711,13.3,8.0,83.0,49.6,
INT_01712,9.6,5.5,79.6,,Average
INT_01713,3.5,7.1,94.4,70.7,Average
INT_01714,,8.0,83.3,46.0,Average
INT_01715,8.4,9.4,85.5,80.0,Excel
INT_01716,9.7,8.5,70.2,56.8,Average
INT_01717,11.0,6.4,95.6,52.7,
INT_01718,10.6,9.3,94.6,71.5,Average
INT_01719,,7.1,88.0,62.6,Average
INT_01720,8.7,5.6,75.8,44.7,Struggle
INT_01721,11.5,7.2,97.7,63.2,Average
INT_01722,9.2,9.7,82.7,74.3,Average
INT_01723,12.2,7.7,84.4,56.3,Average
INT_01724,11.8,7.5,100.0,70.5,Average
INT_01725,,10.0,82.4,78.2,Excel
INT_01726,13.3,5.4,93.9,33.2,Struggle
INT_01727,8.4,5.6,92.5,57.0,Average
INT_01728,12.4,5.1,91.1,42.3,Struggle
INT_01729,11.1,8.1,90.3,,Average
INT_01730,15.5,7.7,91.0,54.3,
INT_01731,9.3,9.8,90.2,76.4,Excel
INT_01732,9.0,7.9,87.6,64.4,Average
INT_01733,9.9,6.9,100.0,,Average
INT_01734,9.1,7.5,77.5,52.5,Average
INT_01735,12.4,7.7,96.2,67.1,Average
INT_01736,5.2,5.0,,48.2,Average
INT_01737,6.8,10.0,,100.0,Excel
INT_01738,6.8,,96.9,81.7,Excel
INT_01739,12.9,7.8,87.3,45.7,Average
INT_01740,15.1,,73.0,45.9,
INT_01741,9.7,8.6,87.4,66.5,Average
INT_01742,9.5,7.3,80.1,57.1,Average
INT_01743,10.2,6.6,82.1,43.9,Struggle
INT_01744,13.5,8.4,78.1,53.4,Average
INT_01745,7.2,8.1,84.2,66.8,Average
INT_01746,10.7,6.3,83.2,43.0,Struggle
INT_01747,12.9,9.6,69.0,53.0,Average
INT_01748,11.5,7.9,93.6,67.9,Average
INT_01749,10.6,8.6,100.0,63.4,Average
INT_01750,13.0,9.6,92.8,73.4,Average
INT_01751,2.0,7.5,86.4,80.2,Excel
INT_01752,,8.0,87.6,57.3,Average
INT_01753,8.0,8.7,84.6,70.7,Average
INT_01754,4.5,6.4,88.7,70.5,Average
INT_01755,11.5,7.6,87.7,53.0,Average
INT_01756,14.1,7.7,81.3,45.4,Average
INT_01757,9.6,6.1,100.0,54.5,Average
INT_01758,12.9,10.0,76.1,71.0,Average
INT_01759,14.8,5.4,93.7,45.3,Average
INT_01760,13.9,5.6,87.2,29.7,Struggle
INT_01761,14.9,9.5,100.0,75.5,Excel
INT_01762,12.2,8.6,90.7,68.6,Average
INT_01763,10.2,6.0,85.1,55.6,Average
INT_01764,5.2,8.4,86.0,77.2,Excel
INT_01765,9.3,9.7,88.3,,Excel
INT_01766,7.5,7.5,78.9,66.0,Average
INT_01767,16.5,10.0,81.9,64.0,Average
INT_01768,9.5,4.9,73.7,,Average
INT_01769,10.4,,,67.4,Average
INT_01770,11.7,9.2,88.8,69.7,Average
INT_01771,,8.8,90.4,,Average
INT_01772,15.1,7.2,,34.9,Struggle
INT_01773,8.1,7.1,86.9,52.0,Average
INT_01774,10.6,8.2,92.5,64.5,Average
INT_01775,7.8,8.7,86.7,77.3,
INT_01776,6.0,8.4,82.9,71.5,
INT_01777,8.2,9.1,84.7,78.3,Excel
INT_01778,9.9,6.0,83.7,48.8,Average
INT_01779,8.7,7.2,82.9,55.0,Average
INT_01780,7.9,6.1,89.4,55.5,Average
INT_01781,5.8,6.9,100.0,73.8,Average
INT_01782,9.8,9.0,82.1,68.3,Average
INT_01783,5.5,7.7,85.5,69.7,Average
INT_01784,12.3,10.0,87.6,,Average
INT_01785,10.2,7.8,82.5,55.8,Average
INT_01786,,7.6,96.8,87.0,Excel
INT_01787,9.1,7.7,69.0,59.1,Average
INT_01788,7.7,6.5,83.8,47.2,Average
INT_01789,11.0,7.4,,47.6,Average
INT_01790,14.0,9.2,85.6,62.2,Average
INT_01791,4.4,7.7,81.4,74.0,Average
INT_01792,10.3,6.3,91.5,49.8,Average
INT_01793,9.5,6.1,95.3,60.8,Average
INT_01794,12.0,6.8,89.7,52.1,Average
INT_01795,10.6,7.6,81.6,54.7,Average
INT_01796,7.7,9.3,91.6,83.2,Excel
INT_01797,9.0,5.5,84.8,43.0,Struggle
INT_01798,7.6,7.0,94.0,63.1,Average
INT_01799,13.2,7.7,99.9,64.8,Average
INT_01800,10.1,4.7,67.2,28.7,Struggle
INT_01801,15.7,6.2,88.9,50.3,Average
INT_01802,9.8,,74.1,49.2,Average
INT_01803,7.9,6.3,,66.1,Average
INT_01804,5.5,7.8,84.3,68.9,Average
INT_01805,4.6,7.3,94.0,77.6,Excel
INT_01806,,6.7,87.7,61.9,Average
INT_01807,10.8,8.1,81.6,60.5,Average
INT_01808,11.5,10.0,80.6,64.7,
INT_01809,5.3,10.0,100.0,99.2,Excel
INT_01810,12.7,4.6,95.6,39.9,Struggle
INT_01811,8.6,8.4,100.0,86.5,Excel
INT_01812,10.4,7.2,88.4,70.5,Average
INT_01813,14.8,7.7,90.3,,Average
INT_01814,12.7,6.9,85.9,49.2,Average
INT_01815,9.2,7.7,85.7,56.1,Average
INT_01816,7.3,7.7,79.7,67.3,Average
INT_01817,3.5,6.6,88.7,68.7,Average
INT_01818,,6.2,81.7,54.4,Average
INT_01819,9.4,6.8,91.5,68.0,Average
INT_01820,7.0,7.9,89.4,64.5,Average
INT_01821,,8.4,90.3,63.0,Average
INT_01822,10.2,8.8,,73.5,Average
INT_01823,9.3,6.8,87.7,60.4,Average
INT_01824,8.0,7.9,94.1,73.2,Average
INT_01825,10.5,8.9,100.0,70.4,Average
INT_01826,11.3,9.2,98.5,,Excel
INT_01827,6.7,7.4,97.2,64.4,Average
INT_01828,14.2,7.2,85.5,42.6,
INT_01829,,7.8,89.8,,Average
INT_01830,10.1,5.8,77.5,38.7,Struggle
INT_01831,12.1,7.2,92.0,60.5,Average
INT_01832,10.7,,90.2,68.9,Average
INT_01833,12.9,8.5,88.2,70.4,Average
INT_01834,10.9,,96.2,58.3,Average
INT_01835,8.2,7.8,78.3,59.8,Average
INT_01836,11.1,6.3,100.0,62.3,Average
INT_01837,6.6,8.6,95.2,77.8,Excel
INT_01838,10.3,7.4,87.4,66.3,Average
INT_01839,9.9,7.1,86.8,59.4,Average
INT_01840,9.4,7.0,91.8,,Average
INT_01841,,7.4,100.0,73.1,Average
INT_01842,4.4,6.8,88.8,72.4,Average
INT_01843,8.4,8.5,89.2,76.0,Excel
INT_01844,10.3,6.9,88.1,44.5,
INT_01845,10.5,9.9,100.0,78.4,Excel
INT_01846,6.9,9.7,85.0,76.6,Excel
INT_01847,13.8,6.2,87.8,37.7,Struggle
INT_01848,7.4,7.6,99.7,82.1,Excel
INT_01849,12.9,6.5,89.2,47.5,
INT_01850,11.3,7.0,97.1,58.5,Average
INT_01851,8.1,10.0,80.7,80.2,Excel
INT_01852,15.3,,86.4,47.7,Average
