Campaign_ID,Page_Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate,Company,Campaign_Type,Target_Audience,Duration,channels,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,,Date,profit margin
408,2,0.567662019,0.225033678,Paid,3.207502056,1,1,DataTech Solutions,Search,Women 35-44,30 days,YouTube,0.04,"$17,299.00",7.91,Houston,German,890,5009,6,Fashionistas,12/02/2021,Profit
409,6,3.815298389,0.085575178,Paid,2.91613722,2,1,Innovate Industries,Social Media,Men 25-34,15 days,YouTube,0.09,"$5,816.00",4.64,Houston,German,147,1629,9,Outdoor Adventurers,13/02/2021,Loss
410,8,2.859494465,0.274069746,Direct,5.223592211,2,1,DataTech Solutions,Search,Women 25-34,45 days,Website,0.15,"$17,201.00",5.32,Houston,Mandarin,849,6430,7,Foodies,14/02/2021,Profit
411,7,3.415258749,0.208925901,Direct,4.223186087,1,1,NexGen Systems,Display,Men 18-24,30 days,YouTube,0.03,"$18,611.00",6.78,Los Angeles,Spanish,412,8230,1,Health & Wellness,15/02/2021,Profit
412,2,1.297983101,0.318243695,Paid,4.998269234,5,1,NexGen Systems,Email,Women 25-34,45 days,Website,0.03,"$7,139.00",5.68,Houston,Mandarin,118,6941,1,Foodies,16/02/2021,Profit
413,6,1.130105479,0.334574213,Social,4.909407585,0,1,TechCorp,Display,All Ages,30 days,YouTube,0.01,"$10,699.00",6.43,New York,German,525,2143,9,Fashionistas,17/02/2021,Profit
414,9,3.4580304,0.371905277,Organic,4.880486115,2,1,NexGen Systems,Influencer,Men 18-24,45 days,YouTube,0.06,"$19,526.00",7.14,New York,Mandarin,294,6179,6,Fashionistas,18/02/2021,Profit
415,3,0.728291651,0.198879392,Organic,3.700110175,1,1,NexGen Systems,Search,Women 35-44,30 days,Google Ads,0.07,"$5,576.00",7.97,Chicago,Mandarin,609,2349,10,Foodies,19/02/2021,Profit
416,8,1.632396255,0.430816827,Organic,8.955681608,2,1,Innovate Industries,Email,Men 25-34,15 days,Google Ads,0.04,"$6,934.00",4.98,Chicago,German,649,1416,7,Foodies,20/02/2021,Loss
417,7,0.62541013,0.106303736,Organic,3.632154922,1,1,TechCorp,Influencer,Men 18-24,60 days,Email,0.01,"$9,077.00",4.4,Los Angeles,Mandarin,860,6874,4,Tech Enthusiasts,21/02/2021,Loss
418,6,0.025018555,0.212806418,Referral,11.82438278,3,1,DataTech Solutions,Search,Men 25-34,15 days,YouTube,0.09,"$5,702.00",2.32,Los Angeles,English,833,2831,10,Foodies,22/02/2021,Loss
419,10,10.52541519,0.204129248,Paid,1.80038714,3,1,Innovate Industries,Social Media,Women 35-44,45 days,Facebook,0.02,"$10,459.00",5.34,Los Angeles,English,642,9515,2,Foodies,23/02/2021,Profit
420,5,1.695333216,0.249412834,Organic,1.196587251,0,1,DataTech Solutions,Email,Women 35-44,45 days,Instagram,0.1,"$9,480.00",6.55,Miami,Spanish,908,6026,2,Foodies,24/02/2021,Profit
421,5,10.45533011,0.161992307,Paid,5.251469916,1,1,NexGen Systems,Social Media,Men 18-24,30 days,Email,0.14,"$6,041.00",4.4,New York,Mandarin,578,6558,6,Foodies,25/02/2021,Loss
422,5,0.453597439,0.784482714,Organic,0.327198561,1,0.468486127,Alpha Innovations,Email,Men 25-34,30 days,Email,0.1,"$9,036.00",2.76,Los Angeles,Mandarin,140,6245,7,Health & Wellness,26/02/2021,Loss
423,5,2.655588499,0.216079832,Direct,5.60620716,2,1,DataTech Solutions,Display,Men 25-34,30 days,Facebook,0.01,"$6,772.00",4.39,Houston,German,540,2667,7,Health & Wellness,27/02/2021,Loss
424,4,0.673085502,0.08066381,Social,0.736712968,7,1,Alpha Innovations,Email,Men 25-34,30 days,Email,0.07,"$17,735.00",6.6,Miami,English,124,2072,10,Outdoor Adventurers,28/02/2021,Profit
425,10,4.683002388,0.154099872,Organic,2.961305553,2,1,TechCorp,Search,Men 18-24,30 days,Google Ads,0.13,"$19,742.00",4.21,Houston,Mandarin,942,7863,5,Health & Wellness,01/03/2021,Loss
426,3,4.593308291,0.147940769,Direct,5.585758823,3,1,Innovate Industries,Display,Men 18-24,45 days,Instagram,0.11,"$19,796.00",6.99,Los Angeles,Mandarin,562,2883,1,Fashionistas,02/03/2021,Profit
427,2,0.358402489,0.241904739,Organic,0.828145316,3,0.719286001,NexGen Systems,Display,Men 18-24,45 days,Website,0.02,"$16,495.00",5.5,Miami,Spanish,466,6126,8,Outdoor Adventurers,03/03/2021,Profit
428,6,7.293453456,0.204583297,Referral,2.714623465,1,1,NexGen Systems,Email,Women 25-34,30 days,Website,0.07,"$11,648.00",4.73,Los Angeles,Mandarin,184,9142,8,Fashionistas,04/03/2021,Loss
429,4,0.649359125,0.152512896,Direct,5.925250856,0,1,Alpha Innovations,Social Media,Men 18-24,30 days,Facebook,0.15,"$14,521.00",2.05,New York,German,991,2511,2,Foodies,05/03/2021,Loss
430,4,2.847816116,0.56471266,Organic,0.365810605,1,0.982726067,NexGen Systems,Display,Women 35-44,45 days,Instagram,0.08,"$10,618.00",7.34,New York,French,671,8433,10,Health & Wellness,06/03/2021,Profit
431,8,12.72859359,0.157136983,Referral,3.745821535,1,1,Alpha Innovations,Email,Women 25-34,30 days,Website,0.07,"$9,482.00",7.25,Los Angeles,German,321,1043,10,Tech Enthusiasts,07/03/2021,Profit
432,5,6.421310333,0.325995025,Organic,2.062483746,1,1,TechCorp,Search,All Ages,45 days,YouTube,0.11,"$14,929.00",3.46,Miami,German,132,4453,1,Outdoor Adventurers,08/03/2021,Loss
433,4,9.409395132,0.295559122,Organic,7.440879058,1,1,Innovate Industries,Display,Men 25-34,60 days,Google Ads,0.01,"$7,700.00",3.46,Los Angeles,Mandarin,123,9889,8,Foodies,09/03/2021,Loss
434,7,1.258382246,0.320132629,Paid,2.35323792,5,1,Alpha Innovations,Social Media,Men 25-34,60 days,Website,0.08,"$9,786.00",6.26,New York,German,147,5764,9,Foodies,10/03/2021,Profit
435,4,0.33472483,0.222133457,Direct,12.96431643,5,1,Alpha Innovations,Influencer,All Ages,30 days,Facebook,0.05,"$13,888.00",2.63,Miami,English,469,9923,2,Fashionistas,11/03/2021,Loss
436,2,0.626046642,0.229511272,Paid,3.377321505,2,1,NexGen Systems,Social Media,All Ages,45 days,Email,0.09,"$12,790.00",5.06,Los Angeles,German,285,4009,1,Foodies,12/03/2021,Profit
437,2,2.082412383,0.469082547,Direct,3.069837449,3,1,DataTech Solutions,Email,Men 18-24,15 days,Google Ads,0.05,"$9,164.00",5.7,Miami,Mandarin,377,1659,5,Health & Wellness,13/03/2021,Profit
438,3,4.728439976,0.178708412,Direct,1.925624694,3,1,Innovate Industries,Display,All Ages,30 days,YouTube,0.06,"$12,729.00",3.44,Houston,French,299,2099,2,Tech Enthusiasts,14/03/2021,Loss
439,3,0.488099111,0.285469741,Organic,2.431642733,2,1,NexGen Systems,Social Media,Women 25-34,60 days,Website,0.09,"$19,698.00",4.88,Los Angeles,Spanish,963,5724,3,Fashionistas,15/03/2021,Loss
440,8,3.234061086,0.286231222,Paid,5.340246996,0,1,Alpha Innovations,Search,Men 25-34,45 days,Website,0.06,"$5,680.00",7.68,Los Angeles,Spanish,279,6815,6,Outdoor Adventurers,16/03/2021,Profit
441,6,1.172812656,0.347784441,Referral,2.599769344,2,0.932830269,Innovate Industries,Search,Men 25-34,45 days,Facebook,0.11,"$12,492.00",2.55,New York,English,656,2093,6,Fashionistas,17/03/2021,Loss
442,0,1.252015279,0.547837985,Paid,1.856067682,2,1,NexGen Systems,Influencer,Women 35-44,30 days,Email,0.15,"$6,292.00",2.64,Chicago,Mandarin,466,8207,8,Foodies,18/03/2021,Loss
443,8,3.253398034,0.118952118,Organic,0.914731878,2,1,TechCorp,Influencer,Men 18-24,30 days,Facebook,0.07,"$19,217.00",7.39,Miami,German,789,5994,10,Tech Enthusiasts,19/03/2021,Profit
444,5,1.887698297,0.316972894,Direct,2.226469084,2,1,NexGen Systems,Influencer,Women 25-34,45 days,Email,0.12,"$15,432.00",4.9,Houston,German,520,5179,2,Fashionistas,20/03/2021,Loss
445,4,5.014471267,0.28559546,Social,5.131792939,3,1,TechCorp,Search,All Ages,45 days,Instagram,0.07,"$8,593.00",7.13,New York,English,200,6668,5,Foodies,21/03/2021,Profit
446,5,0.50851871,0.539535724,Paid,1.829128578,2,1,Alpha Innovations,Search,All Ages,30 days,Facebook,0.09,"$9,723.00",5.1,Los Angeles,Mandarin,577,9201,9,Tech Enthusiasts,22/03/2021,Profit
447,7,4.681204332,0.337951822,Referral,16.32290146,3,1,Alpha Innovations,Email,All Ages,15 days,Google Ads,0.11,"$19,974.00",5.82,Houston,Spanish,582,2461,10,Outdoor Adventurers,23/03/2021,Profit
448,6,0.199173502,0.278446149,Organic,8.343286107,1,1,TechCorp,Influencer,Women 25-34,60 days,Website,0.04,"$18,780.00",3.56,Miami,Mandarin,221,4514,8,Tech Enthusiasts,24/03/2021,Loss
449,3,0.647215163,0.414254368,Paid,0.358837972,2,0.926050249,Innovate Industries,Influencer,Women 35-44,60 days,YouTube,0.14,"$16,594.00",4.69,Miami,Mandarin,773,3018,3,Fashionistas,25/03/2021,Loss
450,4,3.202646799,0.203828621,Direct,2.532268591,5,1,NexGen Systems,Search,Men 18-24,15 days,Facebook,0.11,"$17,226.00",4.09,Miami,Spanish,331,5699,6,Foodies,26/03/2021,Loss
451,2,5.791526863,0.304921332,Social,2.143944168,0,1,Alpha Innovations,Social Media,Men 18-24,15 days,Instagram,0.11,"$15,664.00",3.76,Chicago,German,316,9996,5,Fashionistas,27/03/2021,Loss
452,4,0.873783922,0.219933496,Organic,0.556033141,1,0.801925305,TechCorp,Email,Men 18-24,15 days,Website,0.04,"$10,403.00",5.87,Los Angeles,Mandarin,301,5921,8,Health & Wellness,28/03/2021,Profit
453,1,1.188884082,0.495141086,Paid,2.210918539,3,1,Alpha Innovations,Influencer,Women 25-34,60 days,YouTube,0.02,"$9,712.00",4.19,Miami,French,116,6836,7,Tech Enthusiasts,29/03/2021,Loss
454,9,2.310867163,0.104806873,Referral,2.199760346,1,1,Alpha Innovations,Social Media,Women 35-44,15 days,Google Ads,0.12,"$17,117.00",7.41,Houston,English,987,9000,4,Foodies,30/03/2021,Profit
455,3,0.713145637,0.361312018,Organic,5.517536412,2,0.820018995,Alpha Innovations,Influencer,Women 25-34,60 days,Google Ads,0.06,"$13,593.00",5.72,Los Angeles,English,690,1698,3,Foodies,31/03/2021,Profit
456,1,5.00050616,0.505923023,Organic,6.461177333,3,1,TechCorp,Email,Men 18-24,15 days,Instagram,0.05,"$18,167.00",3.16,Los Angeles,French,917,8122,6,Outdoor Adventurers,01/04/2021,Loss
457,5,4.456841416,0.258080711,Paid,5.626578126,1,1,Alpha Innovations,Search,Men 18-24,60 days,Facebook,0.12,"$11,054.00",4.37,Chicago,German,221,5287,1,Foodies,02/04/2021,Loss
458,4,0.470985156,0.381699475,Referral,8.166845135,2,1,Innovate Industries,Search,Women 35-44,60 days,YouTube,0.02,"$6,728.00",6.29,Chicago,Spanish,856,7061,8,Outdoor Adventurers,03/04/2021,Profit
459,6,1.869910512,0.047619667,Organic,3.335884109,5,1,NexGen Systems,Influencer,Women 35-44,60 days,YouTube,0.03,"$10,914.00",3.92,Los Angeles,German,933,3982,8,Tech Enthusiasts,04/04/2021,Loss
460,5,4.472669064,0.414772948,Organic,3.32845172,3,1,DataTech Solutions,Email,Women 35-44,15 days,Google Ads,0.11,"$17,313.00",5.81,Houston,French,104,6210,5,Foodies,05/04/2021,Profit
461,8,1.234432328,0.458863866,Organic,5.268935816,1,1,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.12,"$11,095.00",3.59,New York,Spanish,988,1689,5,Outdoor Adventurers,06/04/2021,Loss
462,5,3.00805363,0.246035079,Organic,2.229985485,3,1,Alpha Innovations,Email,Women 35-44,60 days,Google Ads,0.13,"$5,130.00",5.15,Houston,Spanish,860,6784,5,Health & Wellness,07/04/2021,Profit
463,7,0.154552974,0.261906826,Paid,3.86127806,4,1,TechCorp,Social Media,Men 25-34,60 days,YouTube,0.02,"$13,482.00",3.17,Houston,English,794,7657,6,Tech Enthusiasts,08/04/2021,Loss
464,4,2.81475608,0.287894938,Organic,3.721134082,3,1,Innovate Industries,Display,Women 35-44,30 days,YouTube,0.01,"$18,932.00",2.64,New York,English,447,9257,3,Health & Wellness,09/04/2021,Loss
465,1,0.49693489,0.150131139,Organic,4.296920724,2,1,TechCorp,Social Media,Women 25-34,15 days,Facebook,0.05,"$16,093.00",6.53,New York,Mandarin,610,5628,10,Fashionistas,10/04/2021,Profit
466,5,5.3261822,0.143334457,Social,6.733017067,4,1,Alpha Innovations,Influencer,Women 25-34,30 days,Facebook,0.11,"$14,899.00",2.75,New York,French,666,6237,4,Fashionistas,11/04/2021,Loss
467,4,1.317606144,0.452323237,Organic,1.634691011,3,0.868693089,Alpha Innovations,Influencer,All Ages,45 days,Facebook,0.1,"$8,127.00",6.95,New York,Spanish,330,1955,7,Fashionistas,12/04/2021,Profit
468,3,0.991993625,0.20972948,Paid,1.681804785,0,0.860090129,DataTech Solutions,Email,Women 25-34,60 days,Website,0.12,"$10,839.00",6.05,Chicago,French,816,6414,6,Foodies,13/04/2021,Profit
469,2,5.514459182,0.279516204,Direct,12.08349527,2,1,TechCorp,Social Media,Women 25-34,60 days,YouTube,0.02,"$16,218.00",7.11,New York,German,176,5609,4,Foodies,14/04/2021,Profit
470,12,0.154334727,0.020209225,Referral,1.635528335,1,1,DataTech Solutions,Email,Men 25-34,60 days,Instagram,0.14,"$7,791.00",2.26,Miami,Mandarin,228,9197,8,Foodies,15/04/2021,Loss
471,5,1.515568606,0.202020509,Referral,2.324713471,3,1,Innovate Industries,Display,Women 25-34,30 days,YouTube,0.02,"$17,214.00",6.81,New York,French,818,2267,1,Outdoor Adventurers,16/04/2021,Profit
472,10,1.386123239,0.043257353,Paid,4.610230194,1,1,DataTech Solutions,Social Media,Women 25-34,45 days,Instagram,0.12,"$12,922.00",7,Houston,Mandarin,970,3985,3,Tech Enthusiasts,17/04/2021,Profit
473,6,1.005580735,0.199787564,Organic,0.431941819,1,0.511861912,Innovate Industries,Email,Men 18-24,15 days,Instagram,0.15,"$14,159.00",4.71,Chicago,German,518,4366,10,Health & Wellness,18/04/2021,Loss
474,1,7.282892017,0.203025538,Referral,2.063063187,1,1,TechCorp,Email,Men 25-34,60 days,Instagram,0.12,"$5,428.00",2.82,Houston,English,292,6313,4,Health & Wellness,19/04/2021,Loss
475,6,4.170044543,0.283999988,Referral,1.164171833,0,0.972978412,Innovate Industries,Influencer,All Ages,30 days,Email,0.03,"$9,830.00",3.83,New York,Spanish,826,4248,10,Fashionistas,20/04/2021,Loss
476,2,0.198173149,0.162738503,Organic,0.887592644,0,0.713097968,Innovate Industries,Search,Women 35-44,45 days,YouTube,0.02,"$17,467.00",5.48,Houston,Mandarin,120,8525,3,Tech Enthusiasts,21/04/2021,Profit
477,4,3.762510093,0.556066136,Paid,6.638986577,2,1,Innovate Industries,Email,Men 25-34,45 days,Website,0.13,"$16,475.00",5.56,Miami,German,652,2439,4,Foodies,22/04/2021,Profit
478,5,2.247877522,0.147413425,Direct,5.649883602,3,1,TechCorp,Influencer,All Ages,15 days,Instagram,0.06,"$15,682.00",4.04,Los Angeles,English,275,9717,3,Health & Wellness,23/04/2021,Loss
479,8,6.933905755,0.130105364,Organic,1.406252623,1,1,Innovate Industries,Influencer,Women 25-34,45 days,Instagram,0.03,"$11,186.00",2.47,Miami,Mandarin,201,1215,1,Fashionistas,24/04/2021,Loss
480,4,1.126025491,0.466192105,Paid,6.854873678,3,1,Innovate Industries,Search,Women 25-34,15 days,Email,0.11,"$14,889.00",4.65,Chicago,Mandarin,455,8222,8,Health & Wellness,25/04/2021,Loss
481,2,2.561088857,0.283508088,Paid,7.175534731,3,1,Innovate Industries,Influencer,Women 35-44,60 days,Instagram,0.09,"$10,706.00",6.57,Chicago,Mandarin,244,2542,4,Health & Wellness,26/04/2021,Profit
482,1,2.083976616,0.742734368,Social,8.168886876,1,1,Innovate Industries,Search,Men 25-34,15 days,Facebook,0.03,"$5,757.00",3.1,Miami,Mandarin,538,5801,1,Outdoor Adventurers,27/04/2021,Loss
483,8,2.017451867,0.171354575,Social,7.289645092,3,1,NexGen Systems,Email,Men 25-34,15 days,Email,0.09,"$18,035.00",7.03,Miami,English,147,6930,4,Tech Enthusiasts,28/04/2021,Profit
484,8,1.8269994,0.156035415,Social,3.931784481,1,1,NexGen Systems,Influencer,Men 25-34,60 days,Google Ads,0.03,"$5,234.00",6.93,Miami,Spanish,149,6815,7,Outdoor Adventurers,29/04/2021,Profit
485,4,0.690615813,0.048328037,Organic,2.280971104,2,0.999810472,NexGen Systems,Search,Men 18-24,60 days,YouTube,0.06,"$12,495.00",4.15,New York,Spanish,753,8752,10,Health & Wellness,30/04/2021,Loss
486,1,4.228196753,0.223936767,Organic,5.614024144,3,1,Alpha Innovations,Display,Women 35-44,45 days,Instagram,0.08,"$8,241.00",7.63,Los Angeles,English,368,4360,4,Outdoor Adventurers,01/05/2021,Profit
487,9,1.800807319,0.272593292,Organic,2.441558899,1,1,DataTech Solutions,Email,Men 18-24,15 days,Email,0.14,"$19,562.00",6.35,Chicago,Mandarin,194,9417,10,Foodies,02/05/2021,Profit
488,4,9.547362292,0.058161654,Referral,4.07025871,6,1,NexGen Systems,Display,Women 25-34,30 days,Facebook,0.05,"$19,456.00",7.56,Los Angeles,German,172,2838,10,Health & Wellness,03/05/2021,Profit
489,2,0.906594477,0.309701679,Referral,2.199124677,5,1,NexGen Systems,Social Media,Men 25-34,45 days,YouTube,0.13,"$10,420.00",3.55,Los Angeles,English,740,7051,3,Foodies,04/05/2021,Loss
490,4,3.444137264,0.181569199,Direct,3.066732517,2,1,TechCorp,Social Media,Women 25-34,30 days,Website,0.11,"$17,493.00",6.42,Los Angeles,French,580,6874,2,Foodies,05/05/2021,Profit
491,3,8.476302106,0.211802397,Paid,1.121853834,1,1,NexGen Systems,Email,Men 18-24,30 days,Instagram,0.07,"$18,686.00",4.32,Chicago,Mandarin,798,6218,9,Foodies,06/05/2021,Loss
492,8,3.26709985,0.246869825,Referral,5.358929094,1,1,TechCorp,Social Media,Men 18-24,30 days,YouTube,0.08,"$16,765.00",7.85,Miami,Spanish,940,1333,4,Foodies,07/05/2021,Profit
493,9,6.150182036,0.276803284,Paid,4.255955912,1,1,NexGen Systems,Display,Women 25-34,45 days,Facebook,0.06,"$17,991.00",2.35,Los Angeles,English,325,9848,10,Health & Wellness,08/05/2021,Loss
494,4,5.271743011,0.113755689,Organic,0.792227047,0,1,DataTech Solutions,Display,Men 25-34,45 days,Facebook,0.05,"$14,481.00",6.74,Miami,Mandarin,637,6228,3,Tech Enthusiasts,09/05/2021,Profit
495,4,1.33941315,0.193019968,Paid,2.456323635,2,1,DataTech Solutions,Search,Women 35-44,30 days,Email,0.13,"$17,531.00",5.04,Miami,German,736,5551,2,Health & Wellness,10/05/2021,Profit
496,5,2.749801889,0.282086947,Paid,6.102849998,1,1,NexGen Systems,Influencer,Women 25-34,45 days,Facebook,0.1,"$15,814.00",6.07,Houston,French,305,8942,6,Outdoor Adventurers,11/05/2021,Profit
497,11,0.50973743,0.378295727,Direct,1.410717462,1,0.900291806,DataTech Solutions,Display,All Ages,30 days,Website,0.12,"$14,037.00",3.98,Houston,French,512,5824,6,Foodies,12/05/2021,Loss
498,8,2.300548332,0.298915571,Organic,1.451157998,3,0.989946004,Alpha Innovations,Search,All Ages,60 days,Instagram,0.09,"$14,493.00",3.22,Chicago,Spanish,870,6980,4,Fashionistas,13/05/2021,Loss
499,6,0.785738789,0.228147702,Direct,2.682372422,1,1,NexGen Systems,Influencer,Men 25-34,45 days,Instagram,0.03,"$19,520.00",5.8,Chicago,Mandarin,702,4794,6,Tech Enthusiasts,14/05/2021,Profit
500,2,4.084650888,0.131622418,Paid,1.841087133,4,1,TechCorp,Social Media,Women 35-44,60 days,Email,0.06,"$5,538.00",4.79,Houston,English,520,6720,2,Tech Enthusiasts,15/05/2021,Loss
501,8,2.252700229,0.584260022,Organic,9.130285328,2,1,Alpha Innovations,Social Media,Men 25-34,45 days,YouTube,0.12,"$10,493.00",3.49,Houston,German,767,5005,2,Outdoor Adventurers,16/05/2021,Loss
502,7,1.589145554,0.670930262,Organic,1.834258587,1,1,NexGen Systems,Search,Men 18-24,30 days,Website,0.06,"$16,116.00",7.42,Chicago,Spanish,471,6621,1,Outdoor Adventurers,17/05/2021,Profit
503,6,0.939192863,0.119312159,Organic,2.06542489,0,0.851375985,DataTech Solutions,Email,Men 25-34,15 days,YouTube,0.14,"$7,708.00",2.56,Chicago,Spanish,701,5101,9,Fashionistas,18/05/2021,Loss
504,5,19.93267164,0.250433579,Paid,0.188309106,2,1,Alpha Innovations,Social Media,Women 35-44,45 days,YouTube,0.06,"$5,935.00",5.92,Miami,Spanish,935,9752,9,Fashionistas,19/05/2021,Profit
505,3,0.223234968,0.6687615,Organic,2.605130186,0,0.925304068,NexGen Systems,Email,Men 25-34,60 days,YouTube,0.05,"$9,290.00",5.04,Los Angeles,Spanish,893,7613,5,Fashionistas,20/05/2021,Profit
506,5,0.133613797,0.18850221,Paid,5.557134104,2,1,NexGen Systems,Email,Men 25-34,15 days,Instagram,0.08,"$19,426.00",2.5,Houston,English,467,2450,3,Tech Enthusiasts,21/05/2021,Loss
507,3,0.73485412,0.352727587,Direct,5.218668994,1,1,TechCorp,Email,Women 25-34,30 days,YouTube,0.14,"$17,183.00",3.58,Los Angeles,German,308,7984,2,Health & Wellness,22/05/2021,Loss
508,3,10.62888345,0.335824663,Referral,5.404504099,0,1,Alpha Innovations,Display,Women 25-34,60 days,Website,0.14,"$15,890.00",2.56,Houston,Spanish,374,2539,7,Health & Wellness,23/05/2021,Loss
509,7,11.62391698,0.31890757,Social,4.935170438,1,1,DataTech Solutions,Social Media,Men 25-34,30 days,Google Ads,0.11,"$6,341.00",7.07,Miami,German,676,5334,9,Fashionistas,24/05/2021,Profit
510,4,3.192004258,0.571462121,Organic,10.28372383,1,1,NexGen Systems,Display,Women 25-34,45 days,Email,0.12,"$16,615.00",7.92,Los Angeles,English,301,3473,5,Health & Wellness,25/05/2021,Profit
511,4,6.363458475,0.276430748,Paid,3.995125686,2,1,TechCorp,Email,Women 35-44,45 days,Website,0.07,"$18,822.00",7.77,New York,Mandarin,471,9465,10,Tech Enthusiasts,26/05/2021,Profit
512,6,0.722249398,0.233936791,Organic,2.026807168,2,1,DataTech Solutions,Search,All Ages,30 days,Facebook,0.07,"$15,713.00",7.67,Los Angeles,English,167,5803,9,Foodies,27/05/2021,Profit
513,6,10.73116579,0.29278406,Social,2.152462893,0,1,TechCorp,Influencer,Women 25-34,60 days,Google Ads,0.12,"$19,754.00",3.85,New York,Spanish,397,9308,7,Health & Wellness,28/05/2021,Loss
514,3,0.462199026,0.233906502,Organic,2.519294356,1,1,Alpha Innovations,Social Media,Men 18-24,30 days,Facebook,0.03,"$16,073.00",5.97,Miami,French,260,7086,9,Fashionistas,29/05/2021,Profit
515,4,0.319834521,0.401436058,Paid,1.67847273,4,1,NexGen Systems,Search,Men 25-34,45 days,Instagram,0.13,"$13,716.00",6.03,Houston,Spanish,676,6304,9,Foodies,30/05/2021,Profit
516,6,0.357065353,0.09689916,Paid,4.289220612,1,1,NexGen Systems,Display,All Ages,15 days,Facebook,0.08,"$12,341.00",4.97,Houston,English,508,6150,3,Health & Wellness,31/05/2021,Loss
517,6,2.55381269,0.171365151,Paid,5.799863509,0,1,Innovate Industries,Social Media,Men 18-24,15 days,YouTube,0.02,"$13,702.00",4.91,Miami,Mandarin,353,8771,9,Foodies,01/06/2021,Loss
518,6,4.555699993,0.252082371,Social,2.261834787,2,1,Alpha Innovations,Social Media,Women 25-34,45 days,Facebook,0.04,"$18,224.00",7.31,Los Angeles,English,682,4781,10,Fashionistas,02/06/2021,Profit
519,6,1.370277629,0.361237862,Organic,7.039498418,3,1,Alpha Innovations,Influencer,Men 25-34,15 days,Website,0.05,"$15,530.00",6.81,Chicago,English,830,7660,8,Outdoor Adventurers,03/06/2021,Profit
520,3,11.43598842,0.188024281,Organic,1.091149452,5,1,DataTech Solutions,Display,Men 18-24,30 days,Website,0.14,"$19,102.00",4.98,Miami,Mandarin,736,2811,5,Outdoor Adventurers,04/06/2021,Loss
521,5,1.70971131,0.382309667,Social,0.428272649,3,1,NexGen Systems,Search,Women 35-44,60 days,Instagram,0.14,"$17,123.00",3.31,Chicago,French,955,5738,7,Foodies,05/06/2021,Loss
522,2,0.489140327,0.217161103,Paid,2.194252587,2,1,NexGen Systems,Search,Women 25-34,15 days,YouTube,0.02,"$8,103.00",5.85,New York,Spanish,262,9494,10,Outdoor Adventurers,06/06/2021,Profit
523,5,1.881891518,0.692524687,Paid,0.494582769,4,1,NexGen Systems,Display,Men 25-34,60 days,Facebook,0.12,"$6,787.00",7.17,Los Angeles,English,776,3071,6,Foodies,07/06/2021,Profit
524,3,3.409289828,0.314983202,Organic,1.527054525,0,0.730407109,Innovate Industries,Social Media,Men 18-24,30 days,Instagram,0.09,"$18,464.00",7.86,Los Angeles,English,883,7234,4,Tech Enthusiasts,08/06/2021,Profit
525,3,5.355408405,0.591597537,Social,3.645431128,0,1,Innovate Industries,Search,Women 35-44,30 days,YouTube,0.08,"$5,214.00",5.41,New York,Spanish,986,5047,3,Fashionistas,09/06/2021,Profit
526,5,1.841723377,0.34887354,Direct,0.708657769,0,1,TechCorp,Influencer,Men 18-24,30 days,Email,0.07,"$17,678.00",4.77,Houston,German,215,6302,10,Foodies,10/06/2021,Loss
527,11,2.701302538,0.114266594,Referral,3.414782126,1,1,NexGen Systems,Social Media,All Ages,30 days,Website,0.14,"$10,365.00",3.23,Miami,Spanish,965,1167,8,Outdoor Adventurers,11/06/2021,Loss
528,7,0.933239891,0.105947615,Social,1.882114876,0,1,NexGen Systems,Email,All Ages,60 days,Instagram,0.09,"$11,139.00",7.54,Los Angeles,Mandarin,640,1144,7,Tech Enthusiasts,12/06/2021,Profit
529,7,3.114667778,0.240746983,Paid,4.905288054,4,1,DataTech Solutions,Search,Men 18-24,45 days,Instagram,0.1,"$18,407.00",2.24,Chicago,German,388,2697,10,Tech Enthusiasts,13/06/2021,Loss
530,4,12.80008785,0.444960196,Organic,0.853810452,2,1,TechCorp,Influencer,Men 18-24,60 days,Instagram,0.07,"$10,863.00",5.21,Miami,Spanish,494,5354,10,Foodies,14/06/2021,Profit
531,1,0.150892653,0.179093776,Organic,1.882119734,4,1,Alpha Innovations,Search,Women 35-44,45 days,Instagram,0.09,"$11,535.00",6.44,Chicago,Spanish,432,8524,6,Tech Enthusiasts,15/06/2021,Profit
532,4,6.528668115,0.065253789,Referral,1.643101105,4,1,Alpha Innovations,Search,Men 18-24,15 days,YouTube,0.03,"$16,117.00",6.68,Los Angeles,Spanish,237,7706,3,Tech Enthusiasts,16/06/2021,Profit
533,5,2.478544681,0.605469653,Paid,3.65691555,0,1,TechCorp,Email,Men 18-24,60 days,Facebook,0.05,"$7,641.00",5.05,Los Angeles,French,247,6859,10,Outdoor Adventurers,17/06/2021,Profit
534,4,0.871452623,0.097646144,Social,2.046011282,1,0.832439045,Alpha Innovations,Search,Men 18-24,15 days,Website,0.07,"$19,122.00",5.86,Los Angeles,French,849,4127,8,Fashionistas,18/06/2021,Profit
535,4,9.295934697,0.2586435,Referral,4.819333441,1,1,Alpha Innovations,Influencer,Men 18-24,45 days,Google Ads,0.07,"$19,905.00",3.28,New York,French,421,9220,1,Health & Wellness,19/06/2021,Loss
